2024-02-11 21:57:40 INFO  TxtFileGenerator:24 - Great. The Data Has Been Successfully Written To The TXT File.

  2024-02-11 21:57:47 INFO  TxtFileGenerator:24 - Great. The Data Has Been Successfully Written To The TXT File.

  2024-02-11 21:58:32 INFO  TxtFileGenerator:24 - Great. The Data Has Been Successfully Written To The TXT File.

  2024-02-11 21:59:30 INFO  TxtFileGenerator:24 - Great. The Data Has Been Successfully Written To The TXT File.

  2024-02-11 21:59:30 INFO  TxtFileGenerator:35 - Successfully Ran TxtFileGenerator.java Class.

  2024-02-11 22:02:09 INFO  TxtFileGenerator:24 - Great. The Data Has Been Successfully Written To The 'written_data.txt' File.

  2024-02-11 22:02:09 INFO  TxtFileGenerator:35 - Successfully Ran TxtFileGenerator.java Class.

  2024-02-11 22:04:54 INFO  TxtFileGeneratorWithUserInput:63 - Great. The Data Has Been Successfully Written To The TXT File.

  2024-02-11 22:06:20 INFO  TxtFileGeneratorWithUserInput:63 - Great. The Data Has Been Successfully Written To The 'written_data_user_input.txt' File.

  2024-02-11 22:07:28 INFO  TxtFileGeneratorWithUserInput:64 - Great. The Data Has Been Successfully Written To The 'written_data_user_input.txt' File.

  2024-02-11 22:07:28 INFO  TxtFileGeneratorWithUserInput:76 - Successfully Ran TxtFileGeneratorWithUserInput.java Class.

  2024-02-11 22:08:16 INFO  TxtFileGenerator:24 - Great. The Data Has Been Successfully Written To The 'written_data.txt' File.

  2024-02-11 22:08:16 INFO  TxtFileGenerator:35 - Successfully Ran The 'TxtFileGenerator.java' Class.

  2024-02-11 22:08:42 INFO  TxtFileGenerator:24 - Great. The Data Has Been Successfully Written To The 'written_data.txt' File.

  2024-02-11 22:08:42 INFO  TxtFileGenerator:35 - Successfully Ran The TxtFileGenerator.java Class.

  2024-02-11 22:09:09 INFO  TxtFileGeneratorWithUserInput:64 - Great. The Data Has Been Successfully Written To The 'written_data_user_input.txt' File.

  2024-02-11 22:09:09 INFO  TxtFileGeneratorWithUserInput:76 - Successfully Ran The TxtFileGeneratorWithUserInput.java Class.

  2024-02-11 22:13:54 INFO  TxtToXmlConverter:88 - Great Job! The Data From The 'predefined_data.txt' File Has Been Written Into The 'output.xml' File Successfully!!!

  2024-02-11 22:14:38 INFO  TxtToXmlConverter:88 - Great Job! The Data From The 'predefined_data.txt' File Has Been Written Into The 'output.xml' File Successfully!!!

  2024-02-11 22:14:54 ERROR TxtToXmlConverter:92 - ERROR! Sorry. The Text File 'predefined_dta.txt' Is Not Found. Please Try Again.

  2024-02-11 22:15:20 ERROR TxtToXmlConverter:92 - Error! Sorry. The Text File 'predefined_dta.txt' Is Not Found. Please Try Again.

  2024-02-11 22:15:37 INFO  TxtToXmlConverter:88 - Great Job! The Data From The 'predefined_data.txt' File Has Been Written Into The 'output.xml' File Successfully!!!

  2024-02-11 22:17:01 INFO  TxtToXmlConverter:88 - Great Job! The Data From The 'predefined_data.txt' File Has Been Written Into The 'output.xml' File Successfully!!!

  2024-02-11 22:17:01 INFO  TxtToXmlConverter:89 - Successfully Ran The TxtToXmlConverter.java Class.

  
